# Parallel DAG traversal time of the HPX implementation
# --- Problem size, in the unit of 10^4
# --- Time, in the unit of second

# Cube data, 3 digit accuracy
(1, 2.509787e-2)
(2, 7.105627e-2)
(4, 1.125094e-1)
(8, 1.420506e-1)
(16, 5.823672e-1)
(32, 8.716399e-1)
(64, 1.142431e+0)
(128, 4.585413e+0)
(256, 7.052021e+0)
(512, 9.147213e+0)
(1024, 3.688573e+1)
(2048, 2.354605e+2)
(4096, 2.354605e+2)

# Cube data, 6 digit accuracy
(1, 4.365545e-2)
(2, 1.309610e-1)
(4, 1.976406e-1)
(8, 3.453705e-1)
(16, 1.006458e+0)
(32, 1.994922e+0)
(64, 2.527300e+0)
(128, 8.441358e+0)
(256, 1.610125e+1)
(512, 1.919265e+1)

# Sphere data, 3 digit accuracy
(1, 4.941412e-2)
(2, 5.317112e-2)
(4, 9.339093e-2)
(8, 1.689927e-1)
(16, 3.724279e-1)
(32, 6.365030e-1)
(64, 1.434599e+0)
(128, 2.497042e+0)
(256, 5.550724e+0)
(512, 1.081233e+1)
(1024, 2.297053e+1)
(2048, 4.433308e+1)

# Sphere data, 6 digit accuracy
(1, 5.912633e-2)
(2, 8.799848e-2)
(4, 2.049974e-1)
(8, 3.171941e-1)
(16, 6.839139e-1)
(32, 1.319105e+0)
(64, 2.763991e+0)
(128, 5.071766e+0)
(256, 1.053508e+1)
(512, 2.181469e+1)


