# Parallel DAG traversal time of the HPX implementation
# --- Problem size, in the unit of 10^4
# --- Time, in the unit of second

# Cube data, 3 digit accuracy
(1, 2.516657e-2)
(2, 5.804747e-2)
(4, 5.491433e-2)
(8, 1.150856e-1)
(16, 2.630841e-1)
(32, 3.002623e-1)
(64, 6.479111e-1)
(128, 1.953793e+0)
(256, 2.225891e+0)
(512, 5.013002e+0)
(1024, 1.581719e+1)
(2048, 1.780951e+1)
(4096, 4.032753e+1)

# Cube data, 6 digit accuracy
(1, 6.034470e-2)
(2, 1.083444e-1)
(4, 1.570810e-1)
(8, 2.062694e-1)
(16, 5.650975e-1)
(32, 1.019344e+0)
(64, 1.390852e+0)
(128, 4.205461e+0)
(256, 8.054738e+0)
(512, 1.102981e+1)

# Sphere data, 3 digit accuracy
(1, 4.989142e-2)
(2, 7.208067e-2)
(4, 7.111621e-2)
(8, 8.819731e-2)
(16, 1.658326e-1)
(32, 2.825337e-1)
(64, 5.426629e-1)
(128, 1.073755e+0)
(256, 2.247382e+0)
(512, 4.309722e+0)
(1024, 8.986641e+0)
(2048, 1.760652e+1)

# Sphere data, 6 digit accuracy
(1, 8.434584e-2)
(2, 8.353350e-2)
(4, 1.382400e-1)
(8, 2.008518e-1)
(16, 3.712397e-1)
(32, 7.148251e-1)
(64, 1.430268e+0)
(128, 2.749774e+0)
(256, 5.647779e+0)
(512, 1.099038e+1)


