1        9.98     10.03    10.00    10.01
2        9.96     9.99     9.99     10.05
4        9.99     9.98     9.98     10.02
8        9.95     9.98     9.98     9.99
16       9.96     9.95     9.99     9.95
32       9.97     10.01    10.00    10.00
64       10.06    10.06    10.05    10.07
128      10.24    10.24    10.26    10.26
256      10.35    10.34    10.37    10.33
512      10.57    10.54    10.59    10.54
1024     10.96    10.97    11.09    11.00
2048     11.89    11.92    11.92    11.91
4096     13.32    13.32    13.38    13.33
8192     17.64    17.69    17.68    17.69
16384    23.32    23.34    23.03    23.14
32768    34.76    34.35    34.47    34.50
65536    56.15    56.01    55.97    55.99
131072   99.55    99.62    98.64    99.35
262144   184.09   184.31   183.49   183.76
524288   353.75   354.30   352.56   352.75
1048576  756.96   766.66   748.36   747.89
2097152  1700.88  1703.09  1711.35  1716.77
