1        10.55    10.48    10.54    10.52
2        10.43    10.36    10.40    10.31
4        10.38    10.33    10.38    10.21
8        10.35    10.34    10.29    10.16
16       10.28    10.27    10.29    10.10
32       10.55    10.62    10.54    10.56
64       10.27    10.35    10.32    10.32
128      10.74    10.86    10.74    10.84
256      10.97    11.05    10.95    10.92
512      10.70    10.60    10.60    10.63
1024     11.64    11.75    11.76    11.80
2048     12.39    12.46    12.48    12.51
4096     13.59    13.73    13.68    13.69
8192     20.04    20.28    20.05    20.24
16384    23.60    23.83    23.67    24.08
32768    1460.18  1456.98  1457.97  1453.85
65536    1495.62  1500.46  1505.23  1494.57
131072   1589.40  1593.06  1589.66  1584.01
262144   1767.78  1769.64  1771.48  1768.94
524288   2182.15  2164.62  2165.82  2163.31
1048576  3083.73  3092.09  3093.48  3097.35
2097152  5057.74  5075.08  5073.37  5063.31
