1        10.03    10.08    10.04    10.05
2        9.98     9.97     9.99     9.98
4        9.97     9.96     9.97     10.02
8        9.97     9.94     9.96     9.99
16       10.02    10.06    9.97     9.99
32       10.80    10.88    10.74    10.73
64       10.87    10.85    10.83    10.85
128      10.99    10.98    10.97    10.98
256      11.51    11.50    11.50    11.50
512      12.16    12.14    12.15    12.11
1024     13.33    13.28    13.31    13.27
2048     15.61    15.59    15.58    15.58
4096     20.75    20.73    20.71    20.73
8192     25.75    25.73    25.77    25.78
16384    45.63    45.88    45.75    45.57
32768    83.80    83.91    84.27    84.59
65536    136.37   136.01   135.50   135.79
131072   216.29   216.86   216.25   215.97
262144   374.68   374.98   374.19   374.40
524288   686.21   685.03   685.90   685.21
1048576  1496.00  1511.29  1503.46  1494.20
2097152  3328.98  3318.27  3335.93  3320.58
4194304  5425.99  5433.14  5431.17  5432.07
