1        6.59     6.03     6.59     6.06
2        6.52     5.98     6.54     5.98
4        6.51     5.97     6.55     5.98
8        6.50     5.95     6.52     5.96
16       6.49     5.94     6.53     5.97
32       6.51     6.00     6.53     5.97
64       6.60     6.09     6.62     6.11
128      6.65     6.15     6.68     6.15
256      6.86     6.31     6.88     6.34
512      7.10     6.55     7.09     6.57
1024     7.63     7.09     7.64     7.22
2048     8.61     7.99     8.60     8.13
4096     10.11    9.59     10.09    9.64
8192     16.55    15.72    16.54    15.62
16384    24.21    24.03    24.97    23.31
32768    51.18    50.85    51.40    49.84
65536    96.33    93.17    95.91    93.18
131072   162.40   158.63   161.45   159.25
262144   261.52   255.71   260.35   257.22
524288   456.67   449.58   455.17   450.21
1048576  1099.32  1036.71  1082.81  1040.36
2097152  2379.91  2306.37  2377.69  2312.23
4194304  3438.02  3437.85  3443.88  3452.82
