1        9.11     9.10     9.08     9.10
2        9.08     9.07     9.07     9.08
4        9.08     9.12     9.12     9.12
8        9.10     9.09     9.07     9.09
16       9.10     9.09     9.10     9.09
32       9.17     9.15     9.12     9.15
64       9.22     9.22     9.22     9.23
128      10.25    10.32    10.32    10.31
256      10.40    10.39    10.39    10.39
512      11.00    10.99    11.01    10.99
1024     12.19    12.13    12.20    12.16
2048     14.61    14.64    14.64    14.61
4096     19.22    19.22    19.22    19.23
8192     26.00    26.00    26.02    25.98
16384    34.31    34.26    34.19    34.27
32768    51.50    51.57    51.57    51.35
65536    82.51    82.32    82.42    82.48
131072   146.82   146.92   146.72   146.80
262144   276.87   277.05   277.22   277.22
524288   540.24   539.80   540.00   539.93
1048576  1225.94  1223.96  1224.71  1224.17
2097152  2663.60  2666.62  2662.17  2668.78
4194304  5537.12  5540.02  5536.22  5536.43
