1        20.74    20.44    20.54    17.74
2        20.53    20.48    20.47    17.70
4        20.65    20.53    20.49    17.61
8        20.67    20.35    20.55    17.66
16       20.57    20.40    20.42    17.67
32       20.68    20.28    20.41    17.68
64       20.81    20.65    20.61    17.90
128      20.84    20.49    20.69    17.83
256      21.08    20.93    20.86    18.08
512      21.20    20.95    20.84    18.14
1024     20.95    21.13    21.18    18.70
2048     24.03    23.93    23.81    20.11
4096     25.15    26.35    25.63    21.02
8192     33.79    34.42    33.82    31.12
16384    38.45    38.71    38.99    36.03
32768    46.01    46.42    45.09    44.07
65536    62.08    62.01    62.28    60.29
131072   91.54    91.93    92.21    89.48
262144   152.28   153.40   152.49   149.70
524288   271.53   273.42   271.27   269.75
1048576  668.37   667.01   671.97   677.16
2097152  1558.93  1556.30  1569.53  1674.23
4194304  3385.29  3337.98  3383.69  3835.36
