1        13.29    13.24    13.24    13.27    13.25
2        13.27    13.27    13.24    13.25    13.24
4        13.30    13.33    13.24    13.25    13.32
8        13.33    13.31    13.31    13.28    13.28
16       13.38    13.34    13.34    13.35    13.33
32       13.45    13.47    13.37    13.35    13.39
64       13.44    13.47    13.46    13.38    13.45
128      14.37    14.33    14.34    14.34    14.35
256      15.15    15.11    15.09    15.12    15.13
512      15.69    15.66    15.68    15.65    15.70
1024     16.93    16.86    16.90    16.86    16.92
2048     19.27    19.25    19.20    19.25    19.24
4096     24.51    24.52    24.52    24.54    24.57
8192     29.07    29.06    29.07    28.97    29.15
16384    57.05    56.93    56.90    56.62    56.77
32768    69.06    69.23    69.11    69.24    69.10
65536    106.47   106.53   106.43   106.32   106.57
131072   168.27   168.17   168.14   168.30   168.06
262144   294.67   294.57   294.62   294.78   294.74
524288   543.33   543.48   543.50   543.47   543.30
1048576  1152.14  1152.26  1152.15  1151.59  1151.67
2097152  2492.00  2490.22  2491.14  2490.90  2491.51
4194304  6621.64  6593.48  6629.33  6618.95  6601.66
