1        15.79    15.77    15.78    15.32
2        15.74    15.71    15.78    15.22
4        15.48    15.50    15.52    15.02
8        15.67    15.62    15.66    15.53
16       15.59    15.65    15.70    15.65
32       15.66    15.77    15.77    15.74
64       15.69    15.73    15.82    15.79
128      15.87    15.95    16.04    15.96
256      16.02    16.06    16.11    15.88
512      16.56    16.54    16.62    16.61
1024     16.96    16.93    17.04    16.92
2048     18.43    18.47    18.51    18.49
4096     20.02    19.97    20.14    20.01
8192     41.06    41.19    41.36    41.27
16384    46.78    45.90    47.07    47.02
32768    57.70    56.28    58.09    57.93
65536    74.57    70.38    74.56    74.30
131072   101.69   99.65    102.00   101.93
262144   164.75   166.31   164.37   165.19
524288   288.45   291.70   288.63   289.35
1048576  699.62   698.55   699.90   693.57
2097152  1618.60  1619.45  1616.47  1616.64
4194304  3456.84  3452.43  3456.57  3452.44
