1        11.74    11.73    11.73    11.71
2        11.71    11.72    11.69    11.70
4        11.71    11.71    11.71    11.70
8        11.72    11.72    11.71    11.70
16       11.77    11.76    11.76    11.74
32       11.81    11.80    11.78    11.80
64       12.68    12.69    12.71    12.69
128      12.88    12.88    12.88    12.87
256      13.56    13.54    13.56    13.53
512      14.15    14.14    14.17    14.17
1024     15.38    15.37    15.38    15.34
2048     17.81    17.80    17.80    17.77
4096     22.98    23.03    23.03    22.98
8192     27.69    27.73    27.65    27.57
16384    51.24    51.37    51.04    50.83
32768    67.41    67.75    67.53    67.23
65536    103.24   103.25   103.34   103.02
131072   166.29   166.43   166.42   166.10
262144   292.55   292.30   292.38   292.20
524288   541.67   541.91   541.67   541.61
1048576  1153.34  1153.12  1153.07  1153.08
2097152  2476.95  2498.21  2498.83  2498.47
4194304  5249.83  5246.49  5246.62  5263.63
