1        5.21     5.22     5.21     5.21     5.21
2        5.20     5.19     5.16     5.21     5.17
4        5.20     5.21     5.18     5.19     5.22
8        5.19     5.20     5.18     5.18     5.19
16       5.21     5.21     5.22     5.22     5.18
32       5.21     5.23     5.20     5.19     5.22
64       5.25     5.23     5.22     5.23     5.25
128      5.45     5.46     5.42     5.42     5.43
256      5.56     5.59     5.57     5.54     5.57
512      6.05     6.09     6.06     6.06     6.07
1024     7.14     7.12     7.18     7.20     7.14
2048     9.35     9.35     9.34     9.34     9.35
4096     13.65    13.63    13.63    13.62    13.62
8192     17.00    17.00    17.03    17.03    16.99
16384    23.71    23.72    23.76    23.76    23.73
32768    37.17    37.18    37.17    37.14    37.13
65536    63.98    63.95    64.00    63.98    63.98
131072   117.74   117.63   117.77   117.65   117.67
262144   225.05   225.00   225.02   225.01   224.98
524288   439.71   439.65   439.68   439.69   439.69
1048576  869.12   868.98   868.97   868.97   868.99
2097152  1727.79  1727.57  1727.63  1727.64  1727.65
4194304  3444.80  3444.83  3444.81  3444.85  3444.87
