1        16.42    16.52    16.36    16.50
2        16.30    16.34    16.21    16.35
4        16.17    16.26    16.11    16.27
8        16.25    16.33    16.17    16.34
16       16.36    16.34    16.32    16.43
32       16.36    16.39    16.29    16.44
64       16.43    16.43    16.17    16.52
128      16.53    16.52    16.55    16.59
256      16.72    16.75    16.67    16.84
512      17.19    17.16    17.09    17.28
1024     17.64    17.64    17.58    17.76
2048     19.13    19.21    19.01    19.28
4096     20.81    20.84    20.66    20.84
8192     41.55    41.62    41.24    41.71
16384    48.28    47.96    48.20    48.12
32768    59.00    58.60    58.93    59.13
65536    75.11    75.28    75.92    75.44
131072   103.23   103.44   102.74   102.92
262144   165.95   166.15   166.11   166.62
524288   291.14   291.48   291.01   290.95
1048576  703.60   702.68   698.85   700.52
2097152  1619.89  1617.13  1622.71  1616.28
4194304  3448.47  3456.14  3460.37  3463.55
