1        10.91    10.91    10.91    10.92
2        10.94    10.92    10.98    10.96
4        10.98    11.01    11.00    11.00
8        10.93    10.95    10.99    10.96
16       11.02    11.05    11.04    11.05
32       11.06    11.07    11.06    11.05
64       11.89    11.95    11.96    11.96
128      12.01    12.07    12.14    12.06
256      12.71    12.75    12.83    12.80
512      13.35    13.30    13.37    13.34
1024     14.56    14.56    14.66    14.58
2048     16.91    16.90    16.95    16.95
4096     22.13    22.14    22.13    22.21
8192     26.84    26.86    26.78    26.85
16384    49.94    50.02    49.96    50.00
32768    66.47    66.27    66.63    66.52
65536    102.10   102.15   102.25   102.11
131072   165.48   165.22   165.38   165.20
262144   291.61   291.59   291.45   291.57
524288   540.77   541.13   540.66   540.69
1048576  1151.71  1151.85  1151.66  1151.56
2097152  2495.66  2496.99  2496.75  2496.00
4194304  5244.11  5244.24  5244.16  5243.36
