1        8.53     8.46     8.46     8.29
2        8.44     8.43     8.44     8.23
4        8.44     8.41     8.45     8.23
8        8.46     8.39     8.47     8.25
16       8.43     8.37     8.41     8.24
32       8.52     8.43     8.49     8.29
64       8.52     8.39     8.51     8.29
128      8.60     8.68     8.62     8.42
256      8.77     8.78     8.77     8.57
512      9.05     9.03     9.02     8.89
1024     9.69     9.60     9.63     9.67
2048     10.46    10.38    10.42    10.45
4096     12.15    12.06    12.08    12.09
8192     18.50    18.60    18.57    18.65
16384    27.40    27.31    27.49    28.02
32768    36.69    35.87    36.18    37.11
65536    68.71    67.83    68.27    68.24
131072   108.27   107.15   107.43   107.07
262144   173.64   172.33   172.38   173.48
524288   306.17   304.82   303.56   305.34
1048576  703.56   704.45   702.90   703.86
2097152  1563.69  1564.68  1563.47  1563.78
4194304  3224.89  3226.30  3223.99  3225.24
