1        6.91     6.92     6.90     6.91     6.80
2        6.89     6.90     6.88     6.90     6.78
4        6.92     6.92     6.94     6.95     6.83
8        6.90     6.88     6.89     6.90     6.80
16       6.83     6.83     6.83     6.83     6.72
32       6.91     6.95     6.92     6.94     6.83
64       6.85     6.84     6.84     6.85     6.76
128      7.06     7.06     7.06     7.08     7.06
256      8.28     8.27     8.29     8.27     8.29
512      8.88     8.88     8.87     8.87     8.89
1024     9.68     9.68     9.69     9.69     9.65
2048     11.91    11.90    11.88    11.94    11.90
4096     16.33    16.33    16.32    16.29    16.28
8192     19.60    19.60    19.59    19.61    19.60
16384    26.11    26.31    26.32    26.36    26.28
32768    39.89    39.63    39.67    39.69    39.67
65536    66.52    66.63    66.63    66.71    66.58
131072   120.29   120.30   120.26   120.31   120.33
262144   227.64   227.68   227.64   227.74   227.64
524288   442.41   442.34   442.34   442.37   442.36
1048576  871.81   871.77   871.75   871.97   871.89
2097152  1730.51  1730.50  1730.46  1730.55  1730.51
4194304  3447.80  3447.65  3447.62  3447.79  3447.58
